preprocessing,k1,b,metric,mean_vector,mean_bm25,delta,wins_bm25,wins_vector,ties,clear_bm25,clear_vector
raw,0.5,0,MAP,0.2506,0.2170,-0.0336,89,135,1,26,51
raw,0.5,0,MAP@10,0.1963,0.1654,-0.0308,75,106,44,24,55
raw,0.5,0,P@10,0.2049,0.1804,-0.0244,47,73,105,34,53
raw,0.5,0,R@10,0.3361,0.3066,-0.0295,47,73,105,40,62
raw,0.5,0,F1@10,0.2307,0.2057,-0.0250,47,73,105,40,62
raw,0.5,0,MRR,0.4742,0.4309,-0.0433,72,92,61,50,61
raw,0.5,0,NDCG@10,0.3051,0.2708,-0.0344,78,106,41,50,70
raw,0.5,0.75,MAP,0.2506,0.2404,-0.0102,111,110,4,28,38
raw,0.5,0.75,MAP@10,0.1963,0.1865,-0.0098,82,87,56,32,33
raw,0.5,0.75,P@10,0.2049,0.1956,-0.0093,42,53,130,31,36
raw,0.5,0.75,R@10,0.3361,0.3288,-0.0074,42,53,130,35,40
raw,0.5,0.75,F1@10,0.2307,0.2222,-0.0085,42,53,130,35,40
raw,0.5,0.75,MRR,0.4742,0.4760,+0.0018,85,72,68,51,45
raw,0.5,0.75,NDCG@10,0.3051,0.3001,-0.0050,85,84,56,43,47
raw,0.5,1,MAP,0.2506,0.2447,-0.0059,116,105,4,27,35
raw,0.5,1,MAP@10,0.1963,0.1925,-0.0038,83,80,62,30,34
raw,0.5,1,P@10,0.2049,0.2022,-0.0027,45,48,132,31,29
raw,0.5,1,R@10,0.3361,0.3387,+0.0026,45,48,132,38,34
raw,0.5,1,F1@10,0.2307,0.2293,-0.0014,45,48,132,38,34
raw,0.5,1,MRR,0.4742,0.4847,+0.0105,80,63,82,46,36
raw,0.5,1,NDCG@10,0.3051,0.3096,+0.0045,87,79,59,42,42
raw,1.2,0,MAP,0.2506,0.2236,-0.0270,89,133,3,31,50
raw,1.2,0,MAP@10,0.1963,0.1707,-0.0255,77,106,42,33,51
raw,1.2,0,P@10,0.2049,0.1849,-0.0200,47,69,109,34,50
raw,1.2,0,R@10,0.3361,0.3107,-0.0254,47,69,109,40,56
raw,1.2,0,F1@10,0.2307,0.2098,-0.0209,47,69,109,40,56
raw,1.2,0,MRR,0.4742,0.4487,-0.0254,79,86,60,50,55
raw,1.2,0,NDCG@10,0.3051,0.2788,-0.0264,80,105,40,51,62
raw,1.2,0.75,MAP,0.2506,0.2544,+0.0038,115,107,3,27,29
raw,1.2,0.75,MAP@10,0.1963,0.2009,+0.0047,86,82,57,29,30
raw,1.2,0.75,P@10,0.2049,0.2098,+0.0049,44,35,146,32,23
raw,1.2,0.75,R@10,0.3361,0.3469,+0.0108,44,35,146,37,28
raw,1.2,0.75,F1@10,0.2307,0.2367,+0.0060,44,35,146,37,28
raw,1.2,0.75,MRR,0.4742,0.4926,+0.0184,83,61,81,46,33
raw,1.2,0.75,NDCG@10,0.3051,0.3182,+0.0131,91,79,55,45,30
raw,1.2,1,MAP,0.2506,0.2524,+0.0018,119,102,4,21,22
raw,1.2,1,MAP@10,0.1963,0.1986,+0.0023,85,78,62,25,25
raw,1.2,1,P@10,0.2049,0.2102,+0.0053,46,34,145,30,21
raw,1.2,1,R@10,0.3361,0.3462,+0.0100,46,34,145,36,26
raw,1.2,1,F1@10,0.2307,0.2372,+0.0065,46,34,145,36,26
raw,1.2,1,MRR,0.4742,0.4894,+0.0153,86,54,85,39,33
raw,1.2,1,NDCG@10,0.3051,0.3175,+0.0123,92,76,57,39,23
raw,2,0,MAP,0.2506,0.2228,-0.0278,91,132,2,34,51
raw,2,0,MAP@10,0.1963,0.1697,-0.0265,76,106,43,33,56
raw,2,0,P@10,0.2049,0.1844,-0.0204,47,73,105,35,51
raw,2,0,R@10,0.3361,0.3071,-0.0290,47,73,105,42,61
raw,2,0,F1@10,0.2307,0.2081,-0.0226,47,73,105,42,61
raw,2,0,MRR,0.4742,0.4544,-0.0197,77,86,62,53,53
raw,2,0,NDCG@10,0.3051,0.2800,-0.0251,81,102,42,51,57
raw,2,0.75,MAP,0.2506,0.2604,+0.0098,126,95,4,31,22
raw,2,0.75,MAP@10,0.1963,0.2086,+0.0124,94,74,57,33,22
raw,2,0.75,P@10,0.2049,0.2169,+0.0120,49,27,149,32,18
raw,2,0.75,R@10,0.3361,0.3590,+0.0229,49,27,149,39,22
raw,2,0.75,F1@10,0.2307,0.2450,+0.0143,49,27,149,39,22
raw,2,0.75,MRR,0.4742,0.5027,+0.0285,85,56,84,47,32
raw,2,0.75,NDCG@10,0.3051,0.3275,+0.0223,99,72,54,52,25
raw,2,1,MAP,0.2506,0.2588,+0.0082,125,96,4,19,16
raw,2,1,MAP@10,0.1963,0.2040,+0.0077,86,70,69,22,18
raw,2,1,P@10,0.2049,0.2062,+0.0013,37,33,155,27,27
raw,2,1,R@10,0.3361,0.3403,+0.0042,37,33,155,29,24
raw,2,1,F1@10,0.2307,0.2330,+0.0023,37,33,155,29,24
raw,2,1,MRR,0.4742,0.5046,+0.0304,76,45,104,34,21
raw,2,1,NDCG@10,0.3051,0.3203,+0.0151,92,68,65,36,21
stopwords,0.5,0,MAP,0.2500,0.2223,-0.0277,90,128,7,24,50
stopwords,0.5,0,MAP@10,0.1966,0.1705,-0.0261,80,101,44,26,51
stopwords,0.5,0,P@10,0.2067,0.1849,-0.0218,45,69,111,34,49
stopwords,0.5,0,R@10,0.3396,0.3172,-0.0224,45,69,111,39,57
stopwords,0.5,0,F1@10,0.2329,0.2118,-0.0211,45,69,111,39,57
stopwords,0.5,0,MRR,0.4728,0.4454,-0.0274,75,86,64,51,57
stopwords,0.5,0,NDCG@10,0.3061,0.2802,-0.0260,79,104,42,46,66
stopwords,0.5,0.75,MAP,0.2500,0.2431,-0.0070,112,105,8,23,33
stopwords,0.5,0.75,MAP@10,0.1966,0.1901,-0.0065,87,84,54,28,32
stopwords,0.5,0.75,P@10,0.2067,0.2009,-0.0058,46,51,128,32,35
stopwords,0.5,0.75,R@10,0.3396,0.3368,-0.0028,46,51,128,38,37
stopwords,0.5,0.75,F1@10,0.2329,0.2279,-0.0050,46,51,128,38,37
stopwords,0.5,0.75,MRR,0.4728,0.4846,+0.0118,84,64,77,52,40
stopwords,0.5,0.75,NDCG@10,0.3061,0.3067,+0.0006,89,82,54,44,42
stopwords,0.5,1,MAP,0.2500,0.2425,-0.0075,109,107,9,21,34
stopwords,0.5,1,MAP@10,0.1966,0.1901,-0.0065,84,83,58,26,35
stopwords,0.5,1,P@10,0.2067,0.2031,-0.0036,46,49,130,31,33
stopwords,0.5,1,R@10,0.3396,0.3387,-0.0009,46,49,130,38,35
stopwords,0.5,1,F1@10,0.2329,0.2300,-0.0029,46,49,130,38,35
stopwords,0.5,1,MRR,0.4728,0.4750,+0.0022,80,66,79,45,40
stopwords,0.5,1,NDCG@10,0.3061,0.3079,+0.0018,86,84,55,40,41
stopwords,1.2,0,MAP,0.2500,0.2302,-0.0198,93,124,8,32,47
stopwords,1.2,0,MAP@10,0.1966,0.1766,-0.0200,79,103,43,34,47
stopwords,1.2,0,P@10,0.2067,0.1902,-0.0164,45,67,113,35,47
stopwords,1.2,0,R@10,0.3396,0.3183,-0.0213,45,67,113,39,55
stopwords,1.2,0,F1@10,0.2329,0.2154,-0.0175,45,67,113,39,55
stopwords,1.2,0,MRR,0.4728,0.4573,-0.0155,80,79,66,53,53
stopwords,1.2,0,NDCG@10,0.3061,0.2874,-0.0187,82,101,42,52,52
stopwords,1.2,0.75,MAP,0.2500,0.2559,+0.0059,118,99,8,24,22
stopwords,1.2,0.75,MAP@10,0.1966,0.2036,+0.0069,85,81,59,30,25
stopwords,1.2,0.75,P@10,0.2067,0.2124,+0.0058,46,35,144,31,23
stopwords,1.2,0.75,R@10,0.3396,0.3540,+0.0145,46,35,144,36,23
stopwords,1.2,0.75,F1@10,0.2329,0.2405,+0.0076,46,35,144,36,23
stopwords,1.2,0.75,MRR,0.4728,0.4954,+0.0226,81,57,87,45,34
stopwords,1.2,0.75,NDCG@10,0.3061,0.3224,+0.0163,90,79,56,44,27
stopwords,1.2,1,MAP,0.2500,0.2527,+0.0027,118,98,9,19,21
stopwords,1.2,1,MAP@10,0.1966,0.1991,+0.0025,85,75,65,23,22
stopwords,1.2,1,P@10,0.2067,0.2111,+0.0044,43,33,149,30,21
stopwords,1.2,1,R@10,0.3396,0.3485,+0.0089,43,33,149,35,24
stopwords,1.2,1,F1@10,0.2329,0.2385,+0.0056,43,33,149,35,24
stopwords,1.2,1,MRR,0.4728,0.4905,+0.0177,82,51,92,39,34
stopwords,1.2,1,NDCG@10,0.3061,0.3194,+0.0133,89,74,62,38,22
stopwords,2,0,MAP,0.2500,0.2294,-0.0206,96,122,7,33,48
stopwords,2,0,MAP@10,0.1966,0.1748,-0.0218,81,103,41,34,52
stopwords,2,0,P@10,0.2067,0.1893,-0.0173,46,70,109,34,49
stopwords,2,0,R@10,0.3396,0.3136,-0.0260,46,70,109,40,59
stopwords,2,0,F1@10,0.2329,0.2136,-0.0194,46,70,109,40,59
stopwords,2,0,MRR,0.4728,0.4646,-0.0081,78,81,66,54,53
stopwords,2,0,NDCG@10,0.3061,0.2869,-0.0192,86,98,41,50,53
stopwords,2,0.75,MAP,0.2500,0.2606,+0.0106,125,91,9,26,20
stopwords,2,0.75,MAP@10,0.1966,0.2069,+0.0103,91,74,60,31,20
stopwords,2,0.75,P@10,0.2067,0.2138,+0.0071,45,32,148,30,22
stopwords,2,0.75,R@10,0.3396,0.3527,+0.0132,45,32,148,34,23
stopwords,2,0.75,F1@10,0.2329,0.2415,+0.0086,45,32,148,34,23
stopwords,2,0.75,MRR,0.4728,0.5002,+0.0275,82,50,93,44,30
stopwords,2,0.75,NDCG@10,0.3061,0.3248,+0.0186,96,72,57,45,25
stopwords,2,1,MAP,0.2500,0.2577,+0.0077,120,97,8,19,17
stopwords,2,1,MAP@10,0.1966,0.2028,+0.0061,83,72,70,21,18
stopwords,2,1,P@10,0.2067,0.2076,+0.0009,37,34,154,25,25
stopwords,2,1,R@10,0.3396,0.3415,+0.0019,37,34,154,27,26
stopwords,2,1,F1@10,0.2329,0.2340,+0.0011,37,34,154,27,26
stopwords,2,1,MRR,0.4728,0.5064,+0.0336,75,39,111,38,20
stopwords,2,1,NDCG@10,0.3061,0.3205,+0.0144,88,71,66,32,20
stemming,0.5,0,MAP,0.2722,0.2369,-0.0352,88,132,5,32,54
stemming,0.5,0,MAP@10,0.2148,0.1849,-0.0299,80,104,41,31,55
stemming,0.5,0,P@10,0.2164,0.1840,-0.0324,44,74,107,30,58
stemming,0.5,0,R@10,0.3738,0.3202,-0.0536,44,74,107,35,66
stemming,0.5,0,F1@10,0.2476,0.2105,-0.0371,44,74,107,35,67
stemming,0.5,0,MRR,0.4851,0.4693,-0.0159,76,93,56,56,63
stemming,0.5,0,NDCG@10,0.3271,0.2929,-0.0343,87,101,37,48,68
stemming,0.5,0.75,MAP,0.2722,0.2693,-0.0029,109,111,5,31,34
stemming,0.5,0.75,MAP@10,0.2148,0.2140,-0.0008,94,81,50,34,37
stemming,0.5,0.75,P@10,0.2164,0.2027,-0.0138,46,58,121,26,39
stemming,0.5,0.75,R@10,0.3738,0.3530,-0.0208,46,58,121,33,50
stemming,0.5,0.75,F1@10,0.2476,0.2322,-0.0153,46,58,121,33,51
stemming,0.5,0.75,MRR,0.4851,0.5218,+0.0366,82,59,84,55,37
stemming,0.5,0.75,NDCG@10,0.3271,0.3297,+0.0026,99,79,47,50,52
stemming,0.5,1,MAP,0.2722,0.2730,+0.0008,117,104,4,34,34
stemming,0.5,1,MAP@10,0.2148,0.2179,+0.0031,94,80,51,34,36
stemming,0.5,1,P@10,0.2164,0.2076,-0.0089,48,50,127,28,34
stemming,0.5,1,R@10,0.3738,0.3604,-0.0134,48,50,127,36,45
stemming,0.5,1,F1@10,0.2476,0.2380,-0.0096,48,50,127,36,46
stemming,0.5,1,MRR,0.4851,0.5219,+0.0368,86,59,80,57,35
stemming,0.5,1,NDCG@10,0.3271,0.3359,+0.0088,97,80,48,53,42
stemming,1.2,0,MAP,0.2722,0.2409,-0.0313,93,128,4,34,51
stemming,1.2,0,MAP@10,0.2148,0.1863,-0.0285,78,105,42,33,50
stemming,1.2,0,P@10,0.2164,0.1867,-0.0298,39,75,111,26,57
stemming,1.2,0,R@10,0.3738,0.3216,-0.0521,39,75,111,30,64
stemming,1.2,0,F1@10,0.2476,0.2128,-0.0347,39,75,111,30,65
stemming,1.2,0,MRR,0.4851,0.4711,-0.0140,76,89,60,56,62
stemming,1.2,0,NDCG@10,0.3271,0.2949,-0.0322,84,102,39,50,68
stemming,1.2,0.75,MAP,0.2722,0.2834,+0.0113,126,92,7,37,27
stemming,1.2,0.75,MAP@10,0.2148,0.2260,+0.0112,106,68,51,39,31
stemming,1.2,0.75,P@10,0.2164,0.2169,+0.0004,52,45,128,32,31
stemming,1.2,0.75,R@10,0.3738,0.3702,-0.0036,52,45,128,38,40
stemming,1.2,0.75,F1@10,0.2476,0.2472,-0.0004,52,45,128,38,40
stemming,1.2,0.75,MRR,0.4851,0.5305,+0.0454,86,55,84,59,31
stemming,1.2,0.75,NDCG@10,0.3271,0.3446,+0.0175,109,67,49,59,44
stemming,1.2,1,MAP,0.2722,0.2813,+0.0092,119,99,7,29,21
stemming,1.2,1,MAP@10,0.2148,0.2241,+0.0093,102,70,53,30,26
stemming,1.2,1,P@10,0.2164,0.2160,-0.0004,49,43,133,28,28
stemming,1.2,1,R@10,0.3738,0.3739,+0.0002,49,43,133,37,37
stemming,1.2,1,F1@10,0.2476,0.2469,-0.0006,49,43,133,37,37
stemming,1.2,1,MRR,0.4851,0.5144,+0.0293,81,59,85,52,30
stemming,1.2,1,NDCG@10,0.3271,0.3422,+0.0151,100,73,52,50,37
stemming,2,0,MAP,0.2722,0.2417,-0.0304,92,128,5,35,50
stemming,2,0,MAP@10,0.2148,0.1869,-0.0279,80,104,41,36,51
stemming,2,0,P@10,0.2164,0.1898,-0.0267,44,74,107,28,58
stemming,2,0,R@10,0.3738,0.3281,-0.0457,44,74,107,34,66
stemming,2,0,F1@10,0.2476,0.2162,-0.0314,44,74,107,34,66
stemming,2,0,MRR,0.4851,0.4746,-0.0106,79,85,61,58,58
stemming,2,0,NDCG@10,0.3271,0.2990,-0.0281,84,102,39,55,68
stemming,2,0.75,MAP,0.2722,0.2881,+0.0160,131,89,5,38,24
stemming,2,0.75,MAP@10,0.2148,0.2288,+0.0140,107,71,47,30,25
stemming,2,0.75,P@10,0.2164,0.2204,+0.0040,49,42,134,37,25
stemming,2,0.75,R@10,0.3738,0.3720,-0.0018,49,42,134,38,39
stemming,2,0.75,F1@10,0.2476,0.2498,+0.0023,49,42,134,39,39
stemming,2,0.75,MRR,0.4851,0.5318,+0.0467,87,57,81,57,31
stemming,2,0.75,NDCG@10,0.3271,0.3479,+0.0207,109,71,45,57,40
stemming,2,1,MAP,0.2722,0.2866,+0.0144,128,91,6,26,15
