preprocessing,model,k1,b,query,P@10,R@10,F1@10,AP@all,AP@10,RR,NDCG@10
raw,vector,,,1,0.5000,0.1786,0.2632,0.2261,0.1347,1.0000,0.3870
raw,vector,,,2,0.4000,0.1667,0.2353,0.1949,0.1488,1.0000,0.5473
raw,vector,,,3,0.5000,0.6250,0.5556,0.6507,0.5330,1.0000,0.7036
raw,vector,,,4,0.2000,1.0000,0.3333,0.6000,0.6000,1.0000,0.7904
raw,vector,,,5,0.1000,0.2500,0.1429,0.1268,0.0500,0.2000,0.1845
raw,vector,,,6,0.1000,0.2500,0.1429,0.0480,0.0312,0.1250,0.1030
raw,vector,,,7,0.2000,0.4000,0.2667,0.2517,0.2333,0.5000,0.3474
raw,vector,,,8,0.1000,0.0909,0.0952,0.0959,0.0182,0.2000,0.1033
raw,vector,,,9,0.2000,0.6667,0.3077,0.4238,0.4167,1.0000,0.6173
raw,vector,,,10,0.2000,0.2500,0.2222,0.1120,0.0729,0.2500,0.2023
raw,vector,,,11,0.2000,0.2857,0.2353,0.1639,0.1032,0.5000,0.1989
raw,vector,,,12,0.1000,0.2000,0.1333,0.0988,0.0250,0.1250,0.1172
raw,vector,,,13,0.0000,0.0000,0.0000,0.0034,0.0000,0.0038,0.0000
raw,vector,,,14,0.1000,0.5000,0.1667,0.0928,0.0625,0.1250,0.2725
raw,vector,,,15,0.2000,1.0000,0.3333,0.8333,0.8333,1.0000,0.7602
raw,vector,,,16,0.1000,0.3333,0.1538,0.1947,0.1667,0.5000,0.2398
raw,vector,,,17,0.1000,0.5000,0.1667,0.5118,0.5000,1.0000,0.7039
raw,vector,,,18,0.1000,0.3333,0.1538,0.0916,0.0667,0.2000,0.1815
raw,vector,,,19,0.0000,0.0000,0.0000,0.0162,0.0000,0.0769,0.0000
raw,vector,,,20,0.5000,0.5556,0.5263,0.4506,0.3028,0.3333,0.4676
raw,vector,,,21,0.1000,0.2500,0.1429,0.2261,0.1250,0.5000,0.3058
raw,vector,,,22,0.0000,0.0000,0.0000,0.0018,0.0000,0.0018,0.0000
raw,vector,,,23,0.3000,0.0938,0.1429,0.1397,0.0430,0.5000,0.3120
raw,vector,,,24,0.2000,0.6667,0.3077,0.5023,0.5000,1.0000,0.7284
raw,vector,,,25,0.4000,0.4444,0.4211,0.4756,0.3611,1.0000,0.5000
raw,vector,,,26,0.2000,0.3333,0.2500,0.1635,0.0893,0.2500,0.2647
raw,vector,,,27,0.1000,0.3333,0.1538,0.1219,0.1111,0.3333,0.2851
raw,vector,,,28,0.0000,0.0000,0.0000,0.0018,0.0000,0.0017,0.0000
raw,vector,,,29,0.4000,0.4444,0.4211,0.4516,0.3778,1.0000,0.4626
raw,vector,,,30,0.0000,0.0000,0.0000,0.0529,0.0000,0.0588,0.0000
raw,vector,,,31,0.0000,0.0000,0.0000,0.0007,0.0000,0.0007,0.0000
raw,vector,,,32,0.0000,0.0000,0.0000,0.0196,0.0000,0.0208,0.0000
raw,vector,,,33,0.2000,0.6667,0.3077,0.4274,0.3889,0.5000,0.4683
raw,vector,,,34,0.1000,0.1667,0.1250,0.1641,0.0278,0.1667,0.0827
raw,vector,,,35,0.0000,0.0000,0.0000,0.0240,0.0000,0.0357,0.0000
raw,vector,,,36,0.0000,0.0000,0.0000,0.0404,0.0000,0.0769,0.0000
raw,vector,,,37,0.3000,0.3333,0.3158,0.1808,0.0929,0.2500,0.2406
raw,vector,,,38,0.0000,0.0000,0.0000,0.0404,0.0000,0.0526,0.0000
raw,vector,,,39,0.3000,0.2308,0.2609,0.2158,0.1615,1.0000,0.2532
raw,vector,,,40,0.0000,0.0000,0.0000,0.0239,0.0000,0.0233,0.0000
raw,vector,,,41,0.3000,1.0000,0.4615,0.8333,0.8333,1.0000,0.9120
raw,vector,,,42,0.3000,0.6000,0.4000,0.1992,0.1917,0.2500,0.3934
raw,vector,,,43,0.4000,0.6667,0.5000,0.4517,0.3730,0.5000,0.6043
raw,vector,,,44,0.0000,0.0000,0.0000,0.0024,0.0000,0.0015,0.0000
raw,vector,,,45,0.2000,0.1667,0.1818,0.1219,0.0694,0.5000,0.2431
raw,vector,,,46,0.4000,0.2667,0.3200,0.2737,0.1811,0.5000,0.3211
raw,vector,,,47,0.4000,0.2857,0.3333,0.2341,0.1088,0.2500,0.3084
raw,vector,,,48,0.2000,0.1818,0.1905,0.1472,0.1061,0.5000,0.2556
raw,vector,,,49,0.1000,0.5000,0.1667,0.2682,0.2500,0.5000,0.4796
raw,vector,,,50,0.1000,0.1667,0.1250,0.0283,0.0167,0.1000,0.1321
raw,vector,,,51,0.4000,0.4000,0.4000,0.4364,0.3417,1.0000,0.4228
raw,vector,,,52,0.4000,1.0000,0.5714,0.8611,0.8611,1.0000,0.7761
raw,vector,,,53,0.2000,0.2000,0.2000,0.2712,0.1667,1.0000,0.2429
raw,vector,,,54,0.2000,0.2222,0.2105,0.1549,0.0926,0.5000,0.2930
raw,vector,,,55,0.2000,0.2000,0.2000,0.2221,0.1400,1.0000,0.3063
raw,vector,,,56,0.1000,0.1000,0.1000,0.0870,0.0111,0.1111,0.0392
raw,vector,,,57,0.1000,0.0714,0.0833,0.0928,0.0179,0.2500,0.0531
raw,vector,,,58,0.1000,0.1111,0.1053,0.1030,0.0370,0.3333,0.1919
raw,vector,,,59,0.0000,0.0000,0.0000,0.0390,0.0000,0.0909,0.0000
raw,vector,,,60,0.3000,0.6000,0.4000,0.5375,0.5200,1.0000,0.5600
raw,vector,,,61,0.2000,0.4000,0.2667,0.2054,0.1667,0.3333,0.3307
raw,vector,,,62,0.0000,0.0000,0.0000,0.0431,0.0000,0.0909,0.0000
raw,vector,,,63,0.0000,0.0000,0.0000,0.0049,0.0000,0.0044,0.0000
raw,vector,,,64,0.2000,1.0000,0.3333,0.3750,0.3750,0.5000,0.5889
raw,vector,,,65,0.5000,0.3333,0.4000,0.3983,0.3010,1.0000,0.5890
raw,vector,,,66,0.2000,0.4000,0.2667,0.1637,0.1111,0.3333,0.3192
raw,vector,,,67,0.8000,0.5714,0.6667,0.6481,0.5482,1.0000,0.8180
raw,vector,,,68,0.2000,0.4000,0.2667,0.1668,0.1500,0.5000,0.3659
raw,vector,,,69,0.0000,0.0000,0.0000,0.0310,0.0000,0.0256,0.0000
raw,vector,,,70,0.0000,0.0000,0.0000,0.0644,0.0000,0.0625,0.0000
raw,vector,,,71,0.0000,0.0000,0.0000,0.0361,0.0000,0.0238,0.0000
raw,vector,,,72,0.0000,0.0000,0.0000,0.0347,0.0000,0.0909,0.0000
raw,vector,,,73,0.5000,0.2500,0.3333,0.2999,0.1965,1.0000,0.5476
raw,vector,,,74,0.0000,0.0000,0.0000,0.0486,0.0000,0.0714,0.0000
raw,vector,,,75,0.1000,0.2000,0.1333,0.0818,0.0400,0.2000,0.1122
raw,vector,,,76,0.2000,0.2857,0.2353,0.1823,0.1000,0.5000,0.2390
raw,vector,,,77,0.5000,0.8333,0.6250,0.7338,0.6750,1.0000,0.6454
raw,vector,,,78,0.3000,1.0000,0.4615,0.4206,0.4206,0.5000,0.5653
raw,vector,,,79,0.1000,0.2000,0.1333,0.0683,0.0500,0.2500,0.1881
raw,vector,,,80,0.0000,0.0000,0.0000,0.0338,0.0000,0.0500,0.0000
raw,vector,,,81,0.1000,0.5000,0.1667,0.1603,0.0833,0.1667,0.0769
raw,vector,,,82,0.3000,0.6000,0.4000,0.5810,0.5500,1.0000,0.6888
raw,vector,,,83,0.1000,0.2500,0.1429,0.2570,0.2500,1.0000,0.3904
raw,vector,,,84,0.2000,0.1818,0.1905,0.1205,0.0384,0.2000,0.1358
raw,vector,,,85,0.1000,0.2500,0.1429,0.0652,0.0500,0.2000,0.0998
raw,vector,,,86,0.2000,1.0000,0.3333,0.5833,0.5833,0.5000,0.6934
