preprocessing,model,k1,b,P@10,R@10,F1@10,MAP,MAP@10,MRR,NDCG@10
raw,vector,,,0.2049,0.3361,0.2307,0.2506,0.1963,0.4742,0.3051
raw,bm25,0.5,0,0.1804,0.3066,0.2057,0.2170,0.1654,0.4309,0.2708
raw,bm25,0.5,0.75,0.1956,0.3288,0.2222,0.2404,0.1865,0.4760,0.3001
raw,bm25,0.5,1,0.2022,0.3387,0.2293,0.2447,0.1925,0.4847,0.3096
raw,bm25,1.2,0,0.1849,0.3107,0.2098,0.2236,0.1707,0.4487,0.2788
raw,bm25,1.2,0.75,0.2098,0.3469,0.2367,0.2544,0.2009,0.4926,0.3182
raw,bm25,1.2,1,0.2102,0.3462,0.2372,0.2524,0.1986,0.4894,0.3175
raw,bm25,2,0,0.1844,0.3071,0.2081,0.2228,0.1697,0.4544,0.2800
raw,bm25,2,0.75,0.2169,0.3590,0.2450,0.2604,0.2086,0.5027,0.3275
raw,bm25,2,1,0.2062,0.3403,0.2330,0.2588,0.2040,0.5046,0.3203
stopwords,vector,,,0.2067,0.3396,0.2329,0.2500,0.1966,0.4728,0.3061
stopwords,bm25,0.5,0,0.1849,0.3172,0.2118,0.2223,0.1705,0.4454,0.2802
stopwords,bm25,0.5,0.75,0.2009,0.3368,0.2279,0.2431,0.1901,0.4846,0.3067
stopwords,bm25,0.5,1,0.2031,0.3387,0.2300,0.2425,0.1901,0.4750,0.3079
stopwords,bm25,1.2,0,0.1902,0.3183,0.2154,0.2302,0.1766,0.4573,0.2874
stopwords,bm25,1.2,0.75,0.2124,0.3540,0.2405,0.2559,0.2036,0.4954,0.3224
stopwords,bm25,1.2,1,0.2111,0.3485,0.2385,0.2527,0.1991,0.4905,0.3194
stopwords,bm25,2,0,0.1893,0.3136,0.2136,0.2294,0.1748,0.4646,0.2869
stopwords,bm25,2,0.75,0.2138,0.3527,0.2415,0.2606,0.2069,0.5002,0.3248
stopwords,bm25,2,1,0.2076,0.3415,0.2340,0.2577,0.2028,0.5064,0.3205
stemming,vector,,,0.2164,0.3738,0.2476,0.2722,0.2148,0.4851,0.3271
stemming,bm25,0.5,0,0.1840,0.3202,0.2105,0.2369,0.1849,0.4693,0.2929
stemming,bm25,0.5,0.75,0.2027,0.3530,0.2322,0.2693,0.2140,0.5218,0.3297
stemming,bm25,0.5,1,0.2076,0.3604,0.2380,0.2730,0.2179,0.5219,0.3359
stemming,bm25,1.2,0,0.1867,0.3216,0.2128,0.2409,0.1863,0.4711,0.2949
stemming,bm25,1.2,0.75,0.2169,0.3702,0.2472,0.2834,0.2260,0.5305,0.3446
stemming,bm25,1.2,1,0.2160,0.3739,0.2469,0.2813,0.2241,0.5144,0.3422
stemming,bm25,2,0,0.1898,0.3281,0.2162,0.2417,0.1869,0.4746,0.2990
stemming,bm25,2,0.75,0.2204,0.3720,0.2498,0.2881,0.2288,0.5318,0.3479
stemming,bm25,2,1,0.2218,0.3788,0.2520,0.2866,0.2288,0.5244,0.3478
stopwords+stemming,vector,,,0.2173,0.3741,0.2483,0.2722,0.2153,0.4849,0.3279
stopwords+stemming,bm25,0.5,0,0.1884,0.3261,0.2155,0.2434,0.1903,0.4742,0.2980
stopwords+stemming,bm25,0.5,0.75,0.2067,0.3591,0.2368,0.2689,0.2135,0.5153,0.3317
stopwords+stemming,bm25,0.5,1,0.2076,0.3590,0.2378,0.2707,0.2143,0.5102,0.3315
stopwords+stemming,bm25,1.2,0,0.1929,0.3324,0.2203,0.2508,0.1966,0.4922,0.3067
stopwords+stemming,bm25,1.2,0.75,0.2182,0.3730,0.2489,0.2861,0.2284,0.5297,0.3481
stopwords+stemming,bm25,1.2,1,0.2156,0.3714,0.2465,0.2851,0.2266,0.5281,0.3452
stopwords+stemming,bm25,2,0,0.1951,0.3383,0.2230,0.2508,0.1960,0.4974,0.3100
stopwords+stemming,bm25,2,0.75,0.2244,0.3783,0.2544,0.2917,0.2336,0.5381,0.3538
stopwords+stemming,bm25,2,1,0.2218,0.3817,0.2533,0.2886,0.2306,0.5340,0.3510
